2016-04-11 14:42:34#闯荡全城捐款消费#-100#164386
2016-04-11 15:22:51#闯荡全城捐款消费#-500#163886
2016-04-11 15:23:14#闯荡全城入场消费|标识ID66#-100#163786
2016-04-11 15:26:10#闯荡全城入场消费|标识ID67#-100#163686
2016-04-11 15:37:48#闯荡全城入场消费|标识ID68#-100#163586
2016-04-11 15:40:27#闯荡全城捐款消费#-100#163486
2016-04-11 15:40:38#闯荡全城入场消费|标识ID69#-100#163386
2016-04-11 15:42:59#闯荡全城入场消费|标识ID70#-100#163286
2016-04-11 15:46:04#闯荡全城入场消费|标识ID71#-100#163186
2016-04-11 15:49:56#闯荡全城入场消费|标识ID72#-100#163086
2016-04-11 15:50:42#闯荡全城入场消费|标识ID73#-100#162986
2016-04-12 14:44:59#闯荡04月11日全国榜单兑奖|标识ID71#171#163157
2016-04-12 14:45:00#闯荡04月11日全国榜单兑奖|标识ID66#143#163300
2016-04-12 14:45:00#闯荡04月11日全国榜单兑奖|标识ID68#114#163414
2016-04-12 14:45:00#闯荡04月11日全国榜单兑奖|标识ID67#86#163500
2016-04-12 14:45:00#闯荡04月11日全国榜单兑奖|标识ID69#57#163557
2016-04-12 14:45:00#闯荡04月11日广州榜单兑奖|标识ID71#38#163595
2016-04-12 14:45:00#闯荡04月11日广州榜单兑奖|标识ID66#38#163633
2016-04-12 14:45:00#闯荡04月11日广州榜单兑奖|标识ID69#38#163671
2016-04-12 14:45:00#闯荡04月11日北京榜单兑奖|标识ID68#38#163709
2016-04-12 14:45:00#闯荡04月11日北京榜单兑奖|标识ID70#38#163747
2016-04-12 14:45:00#闯荡04月11日上海榜单兑奖|标识ID67#38#163785
2016-04-12 15:40:26#闯荡全城入场消费|标识ID79#-100#163685
2016-04-12 16:00:26#闯荡全城入场消费|标识ID80#-100#163585
2016-04-12 16:03:11#闯荡全城入场消费|标识ID81#-100#163485
2016-04-12 16:05:29#闯荡全城入场消费|标识ID82#-100#163385
2016-04-12 16:10:29#闯荡全城入场消费|标识ID85#-100#163285
2016-04-12 16:12:00#闯荡全城入场消费|标识ID87#-100#163185
2016-04-12 16:16:44#闯荡全城入场消费|标识ID88#-100#163085
2016-04-12 16:18:26#闯荡全城入场消费|标识ID90#-100#162985
2016-04-18 11:32:43#闯荡全城入场消费|标识ID91#-100#162885
2016-04-18 11:36:18#闯荡全城入场消费|标识ID92#-100#162785
2016-04-18 11:40:11#闯荡全城入场消费|标识ID93#-100#162685
2016-04-18 11:47:16#闯荡全城入场消费|标识ID94#-100#162585
2016-04-18 14:37:02#闯荡全城入场消费|标识ID95#-100#162485
2016-04-18 14:39:09#闯荡全城入场消费|标识ID96#-100#162385
2016-04-18 14:41:03#闯荡全城入场消费|标识ID97#-100#162285
2016-04-18 14:43:42#闯荡全城入场消费|标识ID98#-100#162185
2016-04-20 16:34:29#闯荡全城入场消费|标识ID99#-100#162085
